,ARN,tr_sink_node,m_network,MID,MID_name,TID,Typ_karty,czy_SCA,tr_amout,pos_entry_mode,country,podział NBP
<<<<<<< HEAD
0,74410493179018980056215,SN-Visa,Niezrzeszeni,P6320,PAWEŁ SZAFRANIEC,11765507,Debit,non_SCA,500.0,011,US,G1
1,74410493191019064326312,SN-Visa,Niezrzeszeni,D2542,Daniel Kucharski GASTRONOMIA,11304307,Credit,non_SCA,19.0,CTLS,CA,G1
2,74410493193019086249805,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,5.29,CTLS,PL,PL
3,74410493203019160507464,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,15.0,CTLS,PL,PL
4,74410493242019441737420,SN-Visa,Niezrzeszeni,W2947,Władysław Lenar,09207207,Debit,SCA,10.0,CTLS,US,G1
5,74410493158018818530147,SN-Visa,Kasa Next,G1141,GEORGIA INVEST SP Z O O,18619907,Credit,non_SCA,54.5,CTLS,PL,PL
6,74410493193019086883207,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,12.57,CTLS,PL,PL
7,74410493195019104890562,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,62.98,CTLS,US,G1
8,74410493212019227997525,SN-Visa,Niezrzeszeni,J0702,Kiosk Janiak Janiak Grażyna,05005907,Debit,non_SCA,58.48,CTLS,CZ,CZ
9,74410493216019255932325,SN-Visa,Niezrzeszeni,M3544,Robert Mroczka Grubtrans,19569807,Debit,non_SCA,5.5,CTLS,PL,PL
10,74410493221019288690448,SN-Visa,Niezrzeszeni,E1826,ELECTIO SP. Z O.O.,11381107,Debit,non_SCA,39.0,CTLS,PL,PL
11,74410493156018805833613,SN-Visa,Wiele Rachunków,F3003,FATEMA BD SPÓŁKA Z OGRANICZONĄ,11742207,Credit,SCA,22.5,CTLS,US,G1
12,74410493178018973846235,SN-Visa,Niezrzeszeni,P6320,PAWEŁ SZAFRANIEC,11765507,Debit,non_SCA,398.0,011,US,G1
13,74410493193019082317721,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,67.35,CTLS,PL,PL
14,74410493193019086878009,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,26.57,CTLS,PL,PL
15,74410493196019105056659,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,219.99,CTLS,US,G1
16,74410493196019105133508,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,1100.0,CTLS,US,G1
17,74410493203019160499571,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,3.0,CTLS,PL,PL
18,74410493218019268292723,SN-Visa,Niezrzeszeni,D0025,Dona Aneta Cywińska,20501407,Credit,non_SCA,79.2,CTLS,US,G1
19,74410493089018340910233,SN-Visa,Niezrzeszeni,S4799,SILBUD Michał Kupiński,09050907,Credit,non_SCA,111549.0,CHIP,US,G1
20,74410493090018349748268,SN-Visa,Niezrzeszeni,S4799,SILBUD Michał Kupiński,09050907,Credit,non_SCA,6260.0,CHIP,US,G1
21,74410493187019033294951,SN-Visa,Niezrzeszeni,S7140,F H U STARKA Magdalena Gwioźdz,13985107,Debit,non_SCA,46.3,CTLS,PL,PL
22,74410493193019085228081,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,23.09,CHIP,PL,PL
23,74410493193019085714106,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,4.78,CTLS,PL,PL
24,74410493196019105144687,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,1098.99,CTLS,US,G1
25,74410493203019162253265,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,3.0,CTLS,PL,PL
26,74410493222019297013664,SN-Visa,Niezrzeszeni,J1015,ORFI Jarosław Fiok,06293507,Credit,non_SCA,945.0,CTLS,US,G1
27,74410493242019441266305,SN-Visa,Niezrzeszeni,W2947,Władysław Lenar,09207207,Debit,SCA,19.0,CTLS,US,G1
28,74410493245019465937010,SN-Visa,Niezrzeszeni,A1844,Artemida s.c.,11079707,Debit,non_SCA,49.5,CTLS,PL,PL
29,74410493141018693644070,SN-Visa,Wiele Rachunków,W3292,WAWA SP Z O O,20015707,Debit,non_SCA,50.0,CTLS,UA,G1
30,74410493157018815763601,SN-Visa,Niezrzeszeni,M9364,ML GROUP ŁUKASZ PIETRYSZYN,19592307,Credit,non_SCA,23.9,CTLS,US,G1
31,74410493159018826723444,SN-Visa,Niezrzeszeni,M2493,"KORONA-M.Nowakowska,M.,K. Kier",05204507,Credit,non_SCA,186.0,CTLS,US,G1
32,74410493187019033276594,SN-Visa,Niezrzeszeni,S7140,F H U STARKA Magdalena Gwioźdz,13985107,Debit,non_SCA,35.34,CTLS,PL,PL
33,74410493193019085203902,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,55.98,CTLS,PL,PL
34,74410493193019086119412,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,10.17,CTLS,PL,PL
35,74410493195019104967576,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,352.97,CTLS,US,G1
36,74410493196019105072508,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,73.97,CTLS,US,G1
37,74410493196019105109797,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,1098.99,CTLS,US,G1
38,74410493200019136647793,SN-Visa,Wiele Rachunków,R1158,Kiosk Regina W.Koronkiewicz,09267207,Debit,non_SCA,9.6,CTLS,US,G1
39,74410493203019161814372,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,6.0,CTLS,PL,PL
40,74410493218019268291667,SN-Visa,Niezrzeszeni,D0025,Dona Aneta Cywińska,20501407,Credit,non_SCA,19.5,CTLS,US,G1
41,74410493218019268293333,SN-Visa,Niezrzeszeni,D0025,Dona Aneta Cywińska,20501407,Credit,non_SCA,50.0,CHIP,US,G1
42,74410493186019026720971,SN-Visa,Niezrzeszeni,P4780,Przystanek pierogarnia Breczko,08431607,Credit,non_SCA,49.0,CTLS,US,G1
43,74410493193019083773666,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,50.81,CTLS,PL,PL
44,74410493196019105044770,SN-Visa,Niezrzeszeni,G5590,Geo Michał Górczyński,08082607,Credit,non_SCA,36.0,CTLS,US,G1
45,74410493203019161376679,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,6.0,CTLS,PL,PL
46,74410493245019466073682,SN-Visa,Niezrzeszeni,S3489,SKLEP WIELOBRANŻOWY TOMASZ SZE,06809207,Debit,non_SCA,49.5,CTLS,PL,PL
=======
0,74410493186019026720971,SN-Visa,Niezrzeszeni,P4780,Przystanek pierogarnia Breczko,08431607,Credit,non_SCA,49.0,CTLS,US,G1
1,74410493193019083773666,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,50.81,CTLS,PL,PL
2,74410493196019105044770,SN-Visa,Niezrzeszeni,G5590,Geo Michał Górczyński,08082607,Credit,non_SCA,36.0,CTLS,US,G1
3,74410493203019161376679,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,6.0,CTLS,PL,PL
4,74410493245019466073682,SN-Visa,Niezrzeszeni,S3489,SKLEP WIELOBRANŻOWY TOMASZ SZE,06809207,Debit,non_SCA,49.5,CTLS,PL,PL
5,74410493179018980056215,SN-Visa,Niezrzeszeni,P6320,PAWEŁ SZAFRANIEC,11765507,Debit,non_SCA,500.0,011,US,G1
6,74410493191019064326312,SN-Visa,Niezrzeszeni,D2542,Daniel Kucharski GASTRONOMIA,11304307,Credit,non_SCA,19.0,CTLS,CA,G1
7,74410493193019086249805,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,5.29,CTLS,PL,PL
8,74410493203019160507464,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,15.0,CTLS,PL,PL
9,74410493242019441737420,SN-Visa,Niezrzeszeni,W2947,Władysław Lenar,09207207,Debit,SCA,10.0,CTLS,US,G1
10,74410493158018818530147,SN-Visa,Kasa Next,G1141,GEORGIA INVEST SP Z O O,18619907,Credit,non_SCA,54.5,CTLS,PL,PL
11,74410493193019086883207,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,12.57,CTLS,PL,PL
12,74410493195019104890562,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,62.98,CTLS,US,G1
13,74410493212019227997525,SN-Visa,Niezrzeszeni,J0702,Kiosk Janiak Janiak Grażyna,05005907,Debit,non_SCA,58.48,CTLS,CZ,CZ
14,74410493216019255932325,SN-Visa,Niezrzeszeni,M3544,Robert Mroczka Grubtrans,19569807,Debit,non_SCA,5.5,CTLS,PL,PL
15,74410493221019288690448,SN-Visa,Niezrzeszeni,E1826,ELECTIO SP. Z O.O.,11381107,Debit,non_SCA,39.0,CTLS,PL,PL
16,74410493156018805833613,SN-Visa,Wiele Rachunków,F3003,FATEMA BD SPÓŁKA Z OGRANICZONĄ,11742207,Credit,SCA,22.5,CTLS,US,G1
17,74410493178018973846235,SN-Visa,Niezrzeszeni,P6320,PAWEŁ SZAFRANIEC,11765507,Debit,non_SCA,398.0,011,US,G1
18,74410493193019082317721,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,67.35,CTLS,PL,PL
19,74410493193019086878009,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,26.57,CTLS,PL,PL
20,74410493196019105056659,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,219.99,CTLS,US,G1
21,74410493196019105133508,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,1100.0,CTLS,US,G1
22,74410493203019160499571,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,3.0,CTLS,PL,PL
23,74410493218019268292723,SN-Visa,Niezrzeszeni,D0025,Dona Aneta Cywińska,20501407,Credit,non_SCA,79.2,CTLS,US,G1
24,74410493141018693644070,SN-Visa,Wiele Rachunków,W3292,WAWA SP Z O O,20015707,Debit,non_SCA,50.0,CTLS,UA,G1
25,74410493157018815763601,SN-Visa,Niezrzeszeni,M9364,ML GROUP ŁUKASZ PIETRYSZYN,19592307,Credit,non_SCA,23.9,CTLS,US,G1
26,74410493159018826723444,SN-Visa,Niezrzeszeni,M2493,"KORONA-M.Nowakowska,M.,K. Kier",05204507,Credit,non_SCA,186.0,CTLS,US,G1
27,74410493187019033276594,SN-Visa,Niezrzeszeni,S7140,F H U STARKA Magdalena Gwioźdz,13985107,Debit,non_SCA,35.34,CTLS,PL,PL
28,74410493193019085203902,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,55.98,CTLS,PL,PL
29,74410493193019086119412,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,10.17,CTLS,PL,PL
30,74410493195019104967576,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,352.97,CTLS,US,G1
31,74410493196019105072508,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,73.97,CTLS,US,G1
32,74410493196019105109797,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,1098.99,CTLS,US,G1
33,74410493200019136647793,SN-Visa,Wiele Rachunków,R1158,Kiosk Regina W.Koronkiewicz,09267207,Debit,non_SCA,9.6,CTLS,US,G1
34,74410493203019161814372,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,6.0,CTLS,PL,PL
35,74410493218019268291667,SN-Visa,Niezrzeszeni,D0025,Dona Aneta Cywińska,20501407,Credit,non_SCA,19.5,CTLS,US,G1
36,74410493218019268293333,SN-Visa,Niezrzeszeni,D0025,Dona Aneta Cywińska,20501407,Credit,non_SCA,50.0,CHIP,US,G1
37,74410493089018340910233,SN-Visa,Niezrzeszeni,S4799,SILBUD Michał Kupiński,09050907,Credit,non_SCA,111549.0,CHIP,US,G1
38,74410493090018349748268,SN-Visa,Niezrzeszeni,S4799,SILBUD Michał Kupiński,09050907,Credit,non_SCA,6260.0,CHIP,US,G1
39,74410493187019033294951,SN-Visa,Niezrzeszeni,S7140,F H U STARKA Magdalena Gwioźdz,13985107,Debit,non_SCA,46.3,CTLS,PL,PL
40,74410493193019085228081,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,23.09,CHIP,PL,PL
41,74410493193019085714106,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,4.78,CTLS,PL,PL
42,74410493196019105144687,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,1098.99,CTLS,US,G1
43,74410493203019162253265,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,3.0,CTLS,PL,PL
44,74410493222019297013664,SN-Visa,Niezrzeszeni,J1015,ORFI Jarosław Fiok,06293507,Credit,non_SCA,945.0,CTLS,US,G1
45,74410493242019441266305,SN-Visa,Niezrzeszeni,W2947,Władysław Lenar,09207207,Debit,SCA,19.0,CTLS,US,G1
46,74410493245019465937010,SN-Visa,Niezrzeszeni,A1844,Artemida s.c.,11079707,Debit,non_SCA,49.5,CTLS,PL,PL
>>>>>>> c652156 (Finished)
